date,open,high,low,close,log close,volume
5/16/1997,1.865,1.9792,1.7083,1.7292,0.237845227,14700000
5/19/1997,1.7083,1.7708,1.625,1.7083,0.232564141,6106800
5/20/1997,1.7292,1.75,1.6358,1.6358,0.213730204,5467200
5/21/1997,1.6042,1.6458,1.375,1.4275,0.154576117,18853200
5/22/1997,1.4375,1.4483,1.3125,1.3958,0.144823194,11776800
5/23/1997,1.4067,1.5208,1.3333,1.5,0.176091259,15937200
5/27/1997,1.4792,1.6458,1.4583,1.5833,0.199563212,8697600
5/28/1997,1.6092,1.6358,1.5317,1.5317,0.185173712,4574400
5/29/1997,1.5417,1.5417,1.4792,1.505,0.1775365,3472800
5/30/1997,1.5,1.5108,1.4792,1.5,0.176091259,2594400
6/2/1997,1.5108,1.5317,1.5,1.5108,0.179206976,591600
6/3/1997,1.5317,1.5317,1.4792,1.4792,0.170026898,1183200
6/4/1997,1.4792,1.49,1.3958,1.4167,0.151277894,3080400
6/5/1997,1.4167,1.5417,1.375,1.5417,0.187999872,5672400
6/6/1997,1.5108,1.7083,1.5108,1.6567,0.219243872,7807200
6/9/1997,1.6875,1.7083,1.6567,1.6875,0.227243782,2352000
6/10/1997,1.7083,1.7083,1.5317,1.5833,0.199563212,5458800
6/11/1997,1.5942,1.6042,1.5317,1.5417,0.187999872,1188000
6/12/1997,1.5833,1.6458,1.5525,1.6042,0.205258512,1632000
6/13/1997,1.625,1.625,1.5833,1.5833,0.199563212,693600
6/16/1997,1.5833,1.6042,1.5625,1.5733,0.196811543,913200
6/17/1997,1.5783,1.5992,1.495,1.505,0.1775365,4706400
6/18/1997,1.5208,1.5367,1.5,1.5108,0.179206976,2464800
6/19/1997,1.5108,1.5317,1.5,1.5108,0.179206976,1003200
6/20/1997,1.5317,1.5525,1.5,1.5258,0.183497611,3387600
6/23/1997,1.5208,1.5417,1.4792,1.5,0.176091259,1047600
6/24/1997,1.505,1.5258,1.4792,1.5108,0.179206976,751200
6/25/1997,1.5108,1.5258,1.49,1.5108,0.179206976,2106000
6/26/1997,1.5208,1.5208,1.505,1.5108,0.179206976,3189600
6/27/1997,1.5158,1.5158,1.4792,1.49,0.173186268,1188000
6/30/1997,1.5108,1.5992,1.4792,1.5417,0.187999872,2746800
7/1/1997,1.5417,1.5417,1.5108,1.5158,0.180641903,1292400
7/2/1997,1.5367,1.5942,1.5108,1.5883,0.200932536,3882000
7/3/1997,1.6358,1.9167,1.5942,1.9117,0.28141974,12577200
7/7/1997,1.8333,2.0208,1.8333,2,0.301029996,8053200
7/8/1997,2.0417,2.3333,2.0417,2.3025,0.362199639,15517200
7/9/1997,2.3025,2.3858,2.2708,2.3233,0.366105292,8262000
7/10/1997,2.365,2.3858,2.3333,2.375,0.375663614,9051600
7/11/1997,2.365,2.5208,2.2083,2.3333,0.367970581,10531200
7/14/1997,2.3125,2.3333,2.1775,2.2083,0.344058072,4604400
7/15/1997,2.1875,2.3958,2.1358,2.3858,0.377634034,9274800
7/16/1997,2.4483,2.495,2.3025,2.3333,0.367970581,3024000
7/17/1997,2.2608,2.3442,2.2192,2.24,0.350248018,3169200
7/18/1997,2.1875,2.2192,2.1567,2.1567,0.333789738,780000
7/21/1997,2.1775,2.1983,2.1458,2.1775,0.337958164,574800
7/22/1997,2.1667,2.1875,2.0625,2.1358,0.329560582,1563600
7/23/1997,2.1875,2.2708,2.1775,2.2658,0.355221572,3259200
7/24/1997,2.3025,2.3125,2.2192,2.2608,0.354262145,1216800
7/25/1997,2.2292,2.25,2.2192,2.2292,0.348149034,620400
7/28/1997,2.2292,2.3025,2.2192,2.2917,0.360157765,2574000
7/29/1997,2.365,2.4067,2.3333,2.3858,0.377634034,4814400
7/30/1997,2.365,2.5,2.3333,2.4792,0.394311563,2517600
7/31/1997,2.4375,2.4375,2.3333,2.3958,0.379450561,1454400
8/1/1997,2.3442,2.4167,2.25,2.4167,0.383222742,3588000
8/4/1997,2.375,2.4117,2.3025,2.3125,0.364081741,2671200
8/5/1997,2.3125,2.3333,2.1458,2.2083,0.344058072,3032400
8/6/1997,2.2083,2.3125,2.1875,2.25,0.352182518,1243200
8/7/1997,2.25,2.2608,2.125,2.1775,0.337958164,2034000
8/8/1997,2.1667,2.3025,2.1042,2.2917,0.360157765,2211600
8/11/1997,2.2917,2.3333,2.25,2.3283,0.367038938,1239600
8/12/1997,2.2817,2.3025,2.1983,2.1983,0.34208696,571200
8/13/1997,2.2292,2.2292,2.1667,2.1983,0.34208696,590400
