date,Amazon_Price_Change,Starbucks_Price_Change,Coke_Price_Change
1/4/2000,-7.44,-0.0862,0.0593
1/5/2000,-10.19,0.0066,0.1937
1/6/2000,-6.19,0.1238,-0.0187
1/7/2000,4,-0.0133,1.1716
1/10/2000,-0.37,0.1171,-0.6061
1/11/2000,-2.44,-0.0829,0.6248
1/12/2000,-3.19,0.0067,0.2156
1/13/2000,2.38,0.2011,-0.2937
1/14/2000,-1.69,-0.0763,0.1562
1/18/2000,-0.12,-0.042,1.231
1/19/2000,2.68,-0.0618,0.0781
1/20/2000,-2.06,-0.0486,0.1969
1/21/2000,-2.69,-0.01,0.3124
1/24/2000,8.07,-0.0453,-0.6249
1/25/2000,-0.88,0.1591,0.3125
1/26/2000,-4.44,0.3315,-0.8811
1/27/2000,2.13,-0.0133,-1.1122
1/28/2000,-5.25,0.1028,-0.7999
1/31/2000,2.87,0.242,0.1563
2/1/2000,2.88,0.0342,0.2155
2/2/2000,2,-0.0618,-0.5467
2/3/2000,14.75,-0.0343,-0.3531
2/4/2000,-5.63,0.3248,0.3125
2/7/2000,-3.56,-0.0143,0.1968
2/8/2000,8.13,0.0829,0.0968
2/9/2000,-2.88,-0.0553,-0.0593
2/10/2000,-4.06,-0.2762,-0.0969
2/11/2000,0,0.0972,-0.353
2/14/2000,-1.75,0.1171,-0.4468
2/15/2000,-0.63,0.0763,0.4874
2/16/2000,-3.12,-0.0486,-0.6655
2/17/2000,-1.69,0.0486,-0.3905
2/18/2000,-4.25,-0.1658,-0.2906
2/22/2000,-1.19,0.0067,0.1156
2/23/2000,6.88,0.1867,-0.1562
2/24/2000,-2,0.0199,-0.4499
2/25/2000,0.69,-0.1448,-0.3499
2/28/2000,-3.38,0.0343,0.1937
2/29/2000,3.13,0.1182,-0.2125
3/1/2000,-3,-0.042,0.7405
3/2/2000,-3.32,-0.1657,-0.428
3/3/2000,-0.06,0.4353,0.1562
3/6/2000,1.44,-0.1447,-0.3531
3/7/2000,-0.44,-0.1934,-0.5842
3/8/2000,0.13,-0.0276,0.1156
3/9/2000,5.18,0.2486,-0.2343
3/10/2000,-1.93,-0.0552,-0.3906
3/13/2000,-1.57,-0.0973,-0.4936
3/14/2000,0.32,-0.1447,-0.138
3/15/2000,-1.88,0.1933,1.333
3/16/2000,2.5,0.3525,0.6869
3/17/2000,-1.44,-0.1458,-0.1945
3/20/2000,-0.62,-0.2067,-0.1788
3/21/2000,8.19,0.421,0.276
3/22/2000,-1.69,0.0144,-0.7464
3/23/2000,-3,0.0276,-0.0189
3/24/2000,5,-0.084,0
3/27/2000,0.44,0.0564,-0.5488
3/28/2000,-3,-0.1315,-0.1161
3/29/2000,-3.88,0.1934,0.6273
3/30/2000,0.25,0.0066,0.5269
3/31/2000,0.5,0.5591,-0.5081
4/3/2000,-3.44,-0.3724,0.7434
4/4/2000,0.38,0.221,0.9628
4/5/2000,-1.75,-0.4287,-1.4898
4/6/2000,2.06,-0.221,-0.5896
4/7/2000,3.31,0.2762,0.138
4/10/2000,-4.18,-0.3789,-0.3732
4/11/2000,0,0.1447,0.6868
4/12/2000,-7,-0.0342,0.4109
4/13/2000,-8.38,0.243,-0.392
4/14/2000,-1.12,-0.5127,-0.0785
4/17/2000,0.18,0.1039,0.4705
4/18/2000,7.88,0.1448,0.0408
4/19/2000,-1.5,-0.021,0.1756
4/20/2000,-1.06,0.021,0.0784
4/24/2000,-2.57,0.2762,0.0596
4/25/2000,2.63,-0.1934,0.2729
4/26/2000,1.06,-0.1171,-0.3325
4/27/2000,-0.62,-0.0077,-0.3732
4/28/2000,2.31,-0.7547,-0.3136
5/1/2000,4.75,0.0785,-0.3137
5/2/2000,-3.81,0.1104,0
5/3/2000,-2,-0.0143,0.7057
5/4/2000,0.93,0.1801,0
5/5/2000,3.44,0.0276,-0.4516
5/8/2000,-2.48,-0.0762,0.4516
