Name,Location,In-State Tuition,Out-of-State Tuition,Type
Landmark College,"PUTNEY, VT",50080,50080,Private
Bard College,"ANNANDALE-ON-HUDSON, NY",49906,49906,Private
St. John's College,"SANTA FE, NM",49644,49644,Private
Dartmouth College,"HANOVER, NH",49506,49506,Private
Connecticut College,"NEW LONDON, CT",49350,49350,Private
Brown University,"PROVIDENCE, RI",49346,49346,Private
Duke University,"DURHAM, NC",49241,49241,Private
Colorado College,"COLORADO SPRINGS, CO",48996,48996,Private
Georgetown University,"WASHINGTON, DC",48611,48611,Private
Amherst College,"AMHERST, MA",48526,48526,Private
George Washington University,"WASHINGTON, DC",48280,48280,Private
Colby College,"WATERVILLE, ME",47350,47350,Private
Chapman University,"ORANGE, CA",47260,47260,Private
Bates College,"LEWISTON, ME",47030,47030,Private
Bowdoin College,"BRUNSWICK, ME",46808,46808,Private
Barnard College,"NEW YORK, NY",46040,46040,Private
Furman University,"GREENVILLE, SC",46012,46012,Private
Providence College,"PROVIDENCE, RI",45400,45400,Private
California Institute of Technology,"PASADENA, CA",45390,45390,Private
Davidson College,"DAVIDSON, NC",45377,45377,Private
Lewis & Clark College,"PORTLAND, OR",45104,45104,Private
School of the Art Institute of Chicago,"CHICAGO, IL",43960,43960,Private
Goucher College,"BALTIMORE, MD",42180,42180,Private
College of the Atlantic,"BAR HARBOR, ME",42084,42084,Private
Kalamazoo College,"KALAMAZOO, MI",41161,41161,Private
Hendrix College,"CONWAY, AR",40870,40870,Private
Bryant University,"SMITHFIELD, RI",39808,39808,Private
California Lutheran University,"THOUSAND OAKS, CA",38430,38430,Private
Colby-Sawyer College,"NEW LONDON, NH",38040,38040,Private
Bellarmine University,"LOUISVILLE, KY",37650,37650,Private
Augustana College,"ROCK ISLAND, IL",37236,37236,Private
Wofford College,"SPARTANBURG, SC",37120,37120,Private
Butler University,"INDIANAPOLIS, IN",37010,37010,Private
Creighton University,"OMAHA, NE",36422,36422,Private
Assumption College,"WORCESTER, MA",36160,36160,Private
Agnes Scott College,"DECATUR, GA",35982,35982,Private
Millsaps College,"JACKSON, MS",35510,35510,Private
Augsburg College,"MINNEAPOLIS, MN",35465,35465,Private
Lynn University,"BOCA RATON, FL",35200,35200,Private
Hood College,"FREDERICK, MD",35150,35150,Private
Anna Maria College,"PAXTON, MA",35074,35074,Private
Presbyterian College,"CLINTON, SC",34828,34828,Private
Bethel University,"SAINT PAUL, MN",34140,34140,Private
Adelphi University,"GARDEN CITY, NY",34034,34034,Private
Sterling College,"CRAFTSBURY COMMON, VT",33492,33492,Private
Centenary College of Louisiana,"SHREVEPORT, LA",33430,33430,Private
Franklin Pierce University,"RINDGE, NH",33320,33320,Private
Embry-Riddle Aeronautical University-Prescott,"PRESCOTT, AZ",33144,33144,Private
George Fox University,"NEWBERG, OR",32786,32786,Private
Elon University,"ELON, NC",32172,32172,Private
Central College,"PELLA, IA",32124,32124,Private
Berry College,"MOUNT BERRY, GA",31996,31996,Private
Birmingham Southern College,"BIRMINGHAM, AL",31888,31888,Private
American International College,"SPRINGFIELD, MA",31870,31870,Private
Centenary College,"HACKETTSTOWN, NJ",31754,31754,Private
Buena Vista University,"STORM LAKE, IA",31318,31318,Private
Caldwell University,"CALDWELL, NJ",31200,31200,Private
University of Bridgeport,"BRIDGEPORT, CT",30850,30850,Private
Bluffton University,"BLUFFTON, OH",30168,30168,Private
Christian Brothers University,"MEMPHIS, TN",30166,30166,Private
Belmont University,"NASHVILLE, TN",30000,30000,Private
Sierra Nevada College,"INCLINE VILLAGE, NV",29994,29994,Private
Albertus Magnus College,"NEW HAVEN, CT",29650,29650,Private
Hope College,"HOLLAND, MI",29560,29560,Private
Carroll College,"HELENA, MT",29280,29280,Private
Johnson & Wales University-Providence,"PROVIDENCE, RI",29226,29226,Private
Barry University,"MIAMI, FL",28800,28800,Private
Gardner-Webb University,"BOILING SPRINGS, NC",28280,28280,Private
Northwest Nazarene University,"NAMPA, ID",28150,28150,Private
Briar Cliff University,"SIOUX CITY, IA",28090,28090,Private
Bloomfield College,"BLOOMFIELD, NJ",27800,27800,Private
Asbury University,"WILMORE, KY",27736,27736,Private
Santa Fe University of Art and Design,"SANTA FE, NM",27650,27650,Private
Anderson University,"ANDERSON, IN",27600,27600,Private
Davis & Elkins College,"ELKINS, WV",27492,27492,Private
Doane College-Crete,"CRETE, NE",27180,27180,Private
Concordia University-Nebraska,"SEWARD, NE",27110,27110,Private
Baker University,"BALDWIN CITY, KS",27080,27080,Private
Greensboro College,"GREENSBORO, NC",26900,26900,Private
Bethel College-Indiana,"MISHAWAKA, IN",26590,26590,Private
Bethany College,"BETHANY, WV",26500,26500,Private
Alfred University,"ALFRED, NY",26261,26261,Private
Benedictine College,"ATCHISON, KS",26200,26200,Private
The College of Idaho,"CALDWELL, ID",25825,25825,Private
Rocky Mountain College,"BILLINGS, MT",25742,25742,Private
Carson-Newman University,"JEFFERSON CITY, TN",25360,25360,Private
Wesley College,"DOVER, DE",25020,25020,Private
Anderson University,"ANDERSON, SC",24860,24860,Private
Hillsdale College,"HILLSDALE, MI",24592,24592,Private
Bethany Lutheran College,"MANKATO, MN",24450,24450,Private
Bethany College,"LINDSBORG, KS",24390,24390,Private
Lyon College,"BATESVILLE, AR",24300,24300,Private
Berea College,"BEREA, KY",24270,24270,Private
Bethel College-North Newton,"NORTH NEWTON, KS",24200,24200,Private
Alderson Broaddus University,"PHILIPPI, WV",24140,24140,Private
Newberry College,"NEWBERRY, SC",24075,24075,Private
Howard University,"WASHINGTON, DC",23970,23970,Private
Capitol Technology University,"LAUREL, MD",23508,23508,Private
Charleston Southern University,"CHARLESTON, SC",23440,23440,Private
Bryan College-Dayton,"DAYTON, TN",23300,23300,Private
Delaware College of Art and Design,"WILMINGTON, DE",23130,23130,Private
Berkeley College-Woodland Park,"WOODLAND PARK, NJ",23121,23121,Private
Southwest University of Visual Arts-Tucson,"TUCSON, AZ",23069,23069,Private
New England Institute of Technology,"EAST GREENWICH, RI",23031,23031,Private
Goldey-Beacom College,"WILMINGTON, DE",22950,22950,Private
Chowan University,"MURFREESBORO, NC",22900,22900,Private
Washington Adventist University,"TAKOMA PARK, MD",22790,22790,Private
Trinity Washington University,"WASHINGTON, DC",22780,22780,Private
Multnomah University,"PORTLAND, OR",22760,22760,Private
Southern Vermont College,"BENNINGTON, VT",22645,22645,Private
Hawaii Pacific University,"HONOLULU, HI",22440,22440,Private
University of Great Falls,"GREAT FALLS, MT",22170,22170,Private
Colorado Christian University,"LAKEWOOD, CO",22088,22088,Private
Aurora University,"AURORA, IL",22080,22080,Private
Clark Atlanta University,"ATLANTA, GA",21945,21945,Private
College of St Joseph,"RUTLAND, VT",21900,21900,Private
Central Methodist University-College of Liberal Arts and Sciences,"FAYETTE, MO",21830,21830,Private
Belhaven University,"JACKSON, MS",21816,21816,Private
Chaminade University of Honolulu,"HONOLULU, HI",21780,21780,Private
Blessing Rieman College of Nursing,"QUINCY, IL",21522,21522,Private
Marylhurst University,"MARYLHURST, OR",20835,20835,Private
Brescia University,"OWENSBORO, KY",20440,20440,Private
Ashland University,"ASHLAND, OH",20242,20242,Private
Lincoln College of New England-Southington,"SOUTHINGTON, CT",19940,19940,Private
University of Jamestown,"JAMESTOWN, ND",19870,19870,Private
Blackburn College,"CARLINVILLE, IL",19560,19560,Private
Faulkner University,"MONTGOMERY, AL",19280,19280,Private
University of Charleston,"CHARLESTON, WV",19247,19247,Private
Beth Medrash Govoha,"LAKEWOOD, NJ",19240,19240,Private
Alliant International University-San Diego,"SAN DIEGO, CA",18998,18998,Private
Sanford College of Nursing,"BISMARCK, ND",18849,18849,Private
Academy College,"MINNEAPOLIS, MN",18093,18093,Private
ITT Technical Institute-Boise,"BOISE, ID",18048,18048,Private
ITT Technical Institute-Wyoming,"WYOMING, MI",18048,18048,Private
Harding University,"SEARCY, AR",17805,17805,Private
Point University,"WEST POINT, GA",17650,17650,Private
The Art Institute of Colorado,"DENVER, CO",17632,17632,Private
Pennsylvania State University-Main Campus,"UNIVERSITY PARK, PA",17514,31346,Public
Allen College,"WATERLOO, IA",17373,17373,Private
University of Illinois at Urbana-Champaign,"CHAMPAIGN, IL",17086,33222,Public
Calumet College of Saint Joseph,"WHITING, IN",17000,17000,Private
University of New Hampshire-Main Campus,"DURHAM, NH",16986,30256,Public
College of William and Mary,"WILLIAMSBURG, VA",16919,41072,Public
Remington College-Honolulu Campus,"HONOLULU, HI",16906,16906,Private
South University-Montgomery,"MONTGOMERY, AL",16761,16761,Private
University of Mary,"BISMARCK, ND",16685,16685,Private
Dillard University,"NEW ORLEANS, LA",16252,16252,Private
New Jersey Institute of Technology,"NEWARK, NJ",16108,30326,Public
Mississippi College,"CLINTON, MS",16064,16064,Private
Antonelli College-Jackson,"JACKSON, MS",15980,15980,Private
Antonelli College-Cincinnati,"CINCINNATI, OH",15980,15980,Private
AIB College of Business,"DES MOINES, IA",15666,15666,Private
Daniel Webster College,"NASHUA, NH",15630,15630,Private
Gallaudet University,"WASHINGTON, DC",15604,15604,Private
Husson University,"BANGOR, ME",15590,15590,Private
Trinity Bible College,"ELLENDALE, ND",15506,15506,Private
Redstone College,"BROOMFIELD, CO",15266,15266,Private
Louisiana College,"PINEVILLE, LA",15070,15070,Private
Everest College-Henderson,"HENDERSON, NV",15000,15000,Private
Great Lakes Christian College,"LANSING, MI",14890,14890,Private
University of Michigan-Ann Arbor,"ANN ARBOR, MI",14729,45002,Public
University of Illinois at Chicago,"CHICAGO, IL",14626,27447,Public
University of the Southwest,"HOBBS, NM",14616,14616,Private
Bethune-Cookman University,"DAYTONA BEACH, FL",14410,14410,Private
Collins College,"PHOENIX, AZ",14400,14400,Private
Everest College-Colorado Springs,"COLORADO SPRINGS, CO",14400,14400,Private
University of Massachusetts-Amherst,"AMHERST, MA",14356,30689,Public
Michigan State University,"EAST LANSING, MI",14333,36934,Public
Kaplan University-Hagerstown Campus,"HAGERSTOWN, MD",14296,14296,Private
Miami University-Oxford,"OXFORD, OH",14287,30987,Public
Johnson University Florida,"KISSIMMEE, FL",14270,14270,Private
